,Date,Cumulative
0,2020-06-15,0.0
1,2020-06-16,6.29
2,2020-06-17,6.29
3,2020-06-18,10.0
4,2020-06-19,12.85
5,2020-06-20,16.63
6,2020-06-21,16.63
7,2020-06-22,26.549999999999997
8,2020-06-23,26.549999999999997
9,2020-06-24,30.97
10,2020-06-25,30.97
11,2020-06-26,38.489999999999995
12,2020-06-27,38.489999999999995
13,2020-06-28,41.629999999999995
14,2020-06-29,42.74999999999999
15,2020-06-30,55.58999999999999
16,2020-07-01,56.68999999999999
17,2020-07-02,59.99999999999999
18,2020-07-03,59.99999999999999
19,2020-07-04,64.22999999999999
20,2020-07-05,64.22999999999999
21,2020-07-06,64.22999999999999
22,2020-07-07,64.22999999999999
23,2020-07-08,71.1
24,2020-07-09,71.1
25,2020-07-10,77.89
26,2020-07-11,80.53
27,2020-07-12,81.72
28,2020-07-13,94.71
29,2020-07-14,94.71
30,2020-07-15,94.71
31,2020-07-16,101.16
32,2020-07-17,101.16
33,2020-07-18,104.28
34,2020-07-19,104.28
35,2020-07-20,113.65
36,2020-07-21,113.65
37,2020-07-22,118.23
38,2020-07-23,120.65
39,2020-07-24,123.77000000000001
40,2020-07-25,123.77000000000001
41,2020-07-26,130.17000000000002
42,2020-07-27,130.17000000000002
43,2020-07-28,130.17000000000002
44,2020-07-29,146.57000000000002
45,2020-07-30,146.57000000000002
46,2020-07-31,150.73000000000002
47,2020-08-01,150.73000000000002
48,2020-08-02,150.73000000000002
49,2020-08-03,155.55
50,2020-08-04,162.24
51,2020-08-05,162.24
52,2020-08-06,162.24
53,2020-08-07,169.49
54,2020-08-08,169.49
55,2020-08-09,169.49
56,2020-08-10,169.49
57,2020-08-11,181.12
58,2020-08-12,181.12
59,2020-08-13,181.12
60,2020-08-14,181.12
61,2020-08-15,184.36
62,2020-08-16,184.36
63,2020-08-17,191.23000000000002
64,2020-08-18,191.23000000000002
65,2020-08-19,194.68
66,2020-08-20,194.68
67,2020-08-21,203.19
